Lp,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [EN],Odpowiedź A [EN],Odpowiedź B [EN],Odpowiedź C [EN],Pytanie [D],Odpowiedź A [D],Odpowiedź B [D],Odpowiedź C [D],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA]
2415,8579,Czy wjeżdżając na to skrzyżowanie masz pierwszeństwo przed pojazdem z lewej strony?,,,,N,PICT_40_1024x576.wmv,PODSTAWOWY,3,B,,,,,"When entering this intersection, do you have priority over the vehicle on the left?",,,,Haben Sie beim Einfahren auf diese Kreuzung Vorfahrt vor dem Fahrzeug links?,,,,Чи маєте Ви перевагу при в'їзді на це перехрестя перед транспортним засобом зліва?,,,
2416,8584,"Czy w tej sytuacji, zamierzając jechać prosto przez skrzyżowanie, masz pierwszeństwo przed innymi uczestnikami ruchu drogowego?",,,,N,Slajd245_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,You intend to drive straight on through the intersection. Do you have priority over other traffic users in this situation?,,,,Haben Sie beim Geradeausfahren über diese Kreuzung Vorfahrt vor anderen Verkehrsteilnehmern?,,,,"Якщо Ви збираєтеся проїхати перехрестя прямо, чи маєте Ви, у цій ситуації, перевагу перед іншими учасниками дорожнього руху?",,,
2417,8586,Czy w widocznej sytuacji masz pierwszeństwo przed pojazdem poruszającym się jezdnią poprzeczną?,,,,N,Slajd293_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In the visible situation, do you have priority over the vehicle travelling on the transverse roadway?",,,,Haben Sie in dieser Situation Vorfahrt vor dem Fahrzeug auf der Querstraße?,,,,"Чи маєте Ви, у цій ситуації, перевагу перед транспортним засобом, що їде перехресною дорогою?",,,
2418,8587,Czy wjeżdżając na widoczne skrzyżowanie o ruchu okrężnym masz pierwszeństwo względem uczestników ruchu znajdujących się już na tym skrzyżowaniu?,,,,N,219_1024x576.jpg,PODSTAWOWY,3,B,,,,,"When entering the visible roundabout, do you have priority in relations to traffic users who are already in the intersection?",,,,Hat man beim Einfahren auf diesen Kreisverkehr Vorfahrt gegenüber den bereits auf dieser Kreuzung befindlichen Verkehrsteilnehmern?,,,,"Виїжджаючи на перехрестя з круговим рухом, яке Ви бачите, чи маєте Ви перевагу перед учасниками руху, які вже знаходяться на цьому перехресті?",,,
2419,8588,Czy zamierzając jechać prosto przez to skrzyżowanie masz obowiązek ustąpić pierwszeństwa pojazdom nadjeżdżającym z prawej strony?,,,,N,Slajd46_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,You intend to drive straight on through this intersection. Are you obliged to yield the right of way to vehicles coming from the right?,,,,Soll man beim Geradeausfahren über diese Kreuzung den von rechts kommenden Fahrzeugen die Vorfahrt gewähren?,,,,"Якщо Ви збираєтеся проїхати це перехрестя прямо, чи зобов’язані Ви дати дорогу транспортним засобам, які наближаються справа?",,,
2420,8591,"Masz zamiar skręcić w prawo na widocznym skrzyżowaniu. Czy w związku z tym masz obowiązek ustąpić pierwszeństwa pojazdom, które zbliżają się z lewej strony?",,,,N,213_1024x576.jpg,PODSTAWOWY,3,B,,,,,You intend to turn right at the visible intersection. Are you therefore obliged to yield the right of way to vehicles approaching from the left?,,,,Sie möchten an dieser Kreuzung rechts abbiegen. Soll man dann die Vorfahrt den von links kommenden Fahrzeugen gewähren?,,,,"Ви збираєтеся повернути праворуч на перехресті, яке бачите. Чи зобов’язані Ви дати дорогу транспортним засобам, які наближаються зліва?",,,
2421,8592,Czy jadąc prosto przez to skrzyżowanie masz pierwszeństwo przed pojazdem z prawej strony?,,,,T,PNS-10-14-0002_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"When driving straight on through this intersection, do you have priority over the vehicle on the right?",,,,Hat man beim Geradeausfahren über diese Kreuzung Vorfahrt vor dem von rechts kommenden Fahrzeug?,,,,"Проїжджаючи прямо через це перехрестя, чи маєте Ви перевагу перед транспортним засобом справа?",,,
2422,8595,Czy skręcając w lewo na tym skrzyżowaniu należy zachować szczególną ostrożność?,,,,T,PNS-10-14-0004_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,Should you exercise special caution when turning left at this intersection?,,,,Soll man beim Linksabbiegen auf dieser Kreuzung besonders vorsichtig sein?,,,,"Чи потрібно бути особливо обережним, повертаючи вліво на цьому перехресті?",,,
2423,8598,Czy w przedstawionej sytuacji masz pierwszeństwo przed pojazdem z prawej strony?,,,,T,PICT_36_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In the presented situation, do you have priority over the vehicle on the right?",,,,Hat man in dieser Situation Vorfahrt vor dem von rechts kommenden Fahrzeug?,,,,Чи у представленій ситуації Ви маєте перевагу у русі перед транспортним засобом справа?,,,
2424,8614,"Czy zamierzając kontynuować jazdę drogą z pierwszeństwem, masz obowiązek włączyć lewy kierunkowskaz?",,,,T,PNS-10-14-0001_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,Are you obliged to signal a left turn if you intend to continue driving on a road with priority?,,,,Soll man bei weiterer Fahrt auf der Vorfahrtsstraße den linken Fahrtrichtungsanzeiger einschalten?,,,,"Якщо Ви маєте намір продовжувати рух по головній дорозі, чи зобов’язані Ви увімкнути лівий поворотник?",,,
2425,8620,"Czy w tej sytuacji, skręcając w prawo na skrzyżowaniu, wjedziesz na drogę z pierwszeństwem?",,,,T,Slajd44_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,Are entering a road with priority if you turn right at the intersection?,,,,Fährt man beim Rechtsabbiegen auf der Kreuzung auf eine Vorfahrtsstraße?,,,,"Чи у цій ситуації, повертаючи вправо на перехресті, Ви виїдете на дорогу з пріоритетом руху (головну)?",,,
2426,8627,"Masz zamiar przejechać na wprost przez widoczne skrzyżowanie. Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdom, które nadjeżdżają z lewej strony?",,,,T,214_1024x576.jpg,PODSTAWOWY,3,B,,,,,You intend to drive straight on through the visible intersection. Are you in this situation obliged to yield the right of way to vehicles approaching form the left?,,,,Sie möchten geradeaus über diese Kreuzung fahren. Sollen Sie in dieser Situation den von links kommenden Fahrzeugen die Vorfahrt gewähren?,,,,"Ви збираєтеся проїхати прямо через перехрестя, яке бачите. Чи, у цій ситуації, Ви зобов’язані дати дорогу транспортним засобам, які наближаються зліва?",,,
2427,8630,Czy w przedstawionej sytuacji masz prawo zawrócić na skrzyżowaniu?,,,,N,PICT_187_1024x576.wmv,PODSTAWOWY,3,B,,,,,Are you allowed in the presented situation to make a U-turn at the intersection?,,,,Dürfen Sie in dieser Situation auf der Kreuzung umkehren?,,,,"Чи, у наведеній ситуації, Ви маєте право зробити розворот на перехресті?",,,
2428,8631,Czy w przedstawionej sytuacji przed wjazdem na skrzyżowanie obowiązkowo trzeba się zatrzymać?,,,,N,PICT_65_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,Is it mandatory in the presented situation to stop before entering the intersection?,,,,Soll man in dieser Situation vor der Einfahrt auf die Kreuzung rechtsmäßig anhalten?,,,,"Чи, у наведеній ситуації, Вам обов’язково потрібно зупинитися перед в’їздом на перехрестя?",,,
2429,8633,Czy w tej sytuacji masz prawo wjechać na skrzyżowanie przed zapaleniem się sygnału czerwonego?,,,,N,PNS-10-14-0008_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, are you allowed to enter the intersection before the red signal lights turn on?",,,,"Dürfen Sie in dieser Situation auf die Kreuzung einfahren, bevor Rot kommt?",,,,"Чи, у наведеній ситуації, Ви можете в'їхати на перехрестя до того, як увімкнеться червоний сигнал світлофора?",,,
2430,8638,Czy w tej sytuacji sygnał świetlny nadawany dla twojego kierunku ruchu zezwala na wjazd za sygnalizator?,,,,N,Film_465.wmv,PODSTAWOWY,3,B,,,,,"In this situation, does the light signal emitted for your traffic direction allow you to enter beyond the traffic signal?",,,,Erlaubt in dieser Situation das Lichtsignal für Ihre Fahrtrichtung die Einfahrt hinter die Ampel?,,,,"Чи, у представленій ситуації, світловий сигнал для вашого напрямку руху дозволяє Вам проїхати на сигнал світлофора?",,,
2431,8646,Czy widoczny sygnał zezwala na skręcenie w prawo bez zatrzymania?,,,,N,Slajd262_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,Does this signal permit you to turn right without stopping?,,,,Erlaubt das Signal das Rechtsabbiegen ohne anzuhalten?,,,,Чи дозволяє Вам сигнал світлофора повернути праворуч без зупинки?,,,
2432,8648,Czy w przedstawionej sytuacji na tym skrzyżowaniu masz prawo zawrócić?,,,,T,PICT_64_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In the situation presented, are you allowed to make a U-turn at this intersection?",,,,Darf man in der dargestellten Situation an der Kreuzung umkehren?,,,,Чи маєте Ви право розвернутися на цьому перехресті у наведеній ситуації?,,,
2433,8654,Czy w tej sytuacji masz prawo wjechać za sygnalizator?,,,,T,PNS-10-14-0009_Censored_1024x576.wmv,PODSTAWOWY,3,B,,,,,"In this situation, do you have the right to drive behind the signalling device?",,,,Darf man in dieser Situation hinter die Ampel fahren?,,,,"Чи, у такій ситуації, Ви можете розпочати рух, щоб проїхати на сигнал світлофора?",,,
2434,8660,Czy w widocznej sytuacji dopuszczalne jest skręcanie w lewo i zawracanie na skrzyżowaniu?,,,,T,Slajd385_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,"In this situation, is it permissible to turn left and then make a U-turn at the intersection?",,,,Sind in dieser Situation das Linksabbiegen und Umkehren auf der Kreuzung erlaubt?,,,,"Чи у ситуації, яку Ви бачите перед собою, допускається поворот вліво і розворот на перехресті?",,,
2435,8662,Czy w widocznej sytuacji masz obowiązek oczekiwać na wjazd na skrzyżowanie?,,,,T,Slajd66_cen_1024x576.jpg,PODSTAWOWY,3,B,,,,,Are you obliged in this situation to wait for entry to the intersection?,,,,Soll man in dieser Situation auf die Einfahrt auf die Kreuzung warten?,,,,"Чи у ситуації, яку Ви бачите Ви зобов’язані чекати, щоб в’їхати на перехрестя?",,,
2436,8723,W jaki sposób zwiększysz widoczność w przypadku zbliżania się do zakrętu o ograniczonej widoczności w prawo?,Zbliżę się do osi jezdni.,Zbliżę się do prawej krawędzi jezdni.,Będę poruszać się środkiem pasa ruchu.,A,A0183.jpg,SPECJALISTYCZNY,2,"A,AM,A1,A2",,,,,How can you improve visibility when approaching a turn with limited visibility on the right?,I'll go close to the axis of the roadway.,I'll go close to the right edge of the roardway,I'll travel in the middle of the traffic lane.,Auf welche Weise lässt sich die Sicht im Falle einer Kurve mit beschränkter Sicht nach rechts erweitern?,zur Fahrbahnmitte fahren,zur rechten Fahrbahnkante fahren,in der Mitte des Fahrspur fahren,,,,
2437,8726,Kierując motocyklem efekt hamowania silnikiem uzyskasz:,ujmując nieco gazu bez użycia dźwigni sprzęgła.,wciskając dźwignię sprzęgła oraz ujmując całkowice gazu.,włączając bieg nieutralny.,A,A0192.jpg,SPECJALISTYCZNY,2,"A,A1,A2",,,,,"When riding a motorcycle, what effect do you obtain from engine braking?",slightly releasing the accelerator without using the clutch lever.,pushing the clutch lever and completely releasing the accelerator.,applying the neutral gear.,"Beim Motorradfahren erzielt man das Motorbremsen,","wenn man weniger Gas gibt, ohne die Kupplung zu betätigen",wenn man die Kupplung drückt und das Gas loslässt,wenn man einen neutralen Gang einschaltet,,,,
